Kodas,Pavadinimas
1,Vadovai
11,"Teisės aktų leidėjai, vyresnieji valstybės tarnautojai, įmonių, įstaigų, organizacijų ir kiti vadovai"
111,Teisės aktų leidėjai ir vyresnieji valstybės tarnautojai
1111,Teisės aktų leidėjai
1112,Vyresnieji valstybės tarnautojai
1113,Seniūnai
1114,Specialios paskirties organizacijų vadovai
112,"Įmonių, įstaigų ir organizacijų vadovai"
1120,"Įmonių, įstaigų ir organizacijų vadovai"
12,Administravimo ir komercijos vadovai
121,Verslo paslaugų srities ir administracijos vadovai
1211,Finansų srities vadovai
1212,Žmogiškųjų išteklių srities vadovai
1213,Politikos ir planavimo srities vadovai
1219,Kitur nepriskirti verslo paslaugų srities ir administracijos vadovai
122,"Pardavimo, rinkodaros ir plėtros vadovai"
1221,Pardavimo ir rinkodaros vadovai
1222,Reklamos ir viešųjų ryšių srities vadovai
1223,Mokslinių tyrimų ir plėtros vadovai
13,Gamybos ir specializuotų paslaugų srities vadovai
131,"Žemės, miškų ir žuvininkystės ūkio produkcijos gamybos vadovai"
1311,Žemės ir miškų ūkio produkcijos gamybos vadovai
1312,Akvakultūros ir žuvininkystės ūkio produkcijos gamybos vadovai
132,"Gamybos, gavybos, statybos ir platinimo vadovai"
1321,Gamybos vadovai
1322,Gavybos vadovai
1323,Statybos vadovai
1324,"Tiekimo, platinimo ir panašių paslaugų vadovai"
133,Informacinių technologijų ir ryšių paslaugų srities vadovai
1330,Informacinių technologijų ir ryšių paslaugų srities vadovai
134,Profesionaliųjų paslaugų srities vadovai
1341,Vaikų priežiūros paslaugų srities vadovai
1342,Sveikatinimo paslaugų srities vadovai
1343,Pagyvenusių žmonių slaugos ir socialinių paslaugų srities vadovai
1344,Socialinės paramos vadovai
1345,Švietimo srities vadovai
1346,Finansinių ir draudimo paslaugų padalinių vadovai
1349,Kitur nepriskirti profesionaliųjų paslaugų srities vadovai
14,"Viešbučių ir restoranų, mažmeninės prekybos ir kitų paslaugų srities vadovai"
141,Viešbučių ir restoranų vadovai
1411,Viešbučių vadovai
1412,Restoranų vadovai
142,Mažmeninės ir didmeninės prekybos vadovai
1420,Mažmeninės ir didmeninės prekybos vadovai
143,Kitų paslaugų srities vadovai
1431,"Sporto, laisvalaikio ir kultūros įstaigų vadovai"
1439,Kitur nepriskirti paslaugų srities vadovai
2,Specialistai
21,Fizinių mokslų ir inžinerijos specialistai
211,Fizinių mokslų specialistai
2111,Fizikai ir astronomai
2112,Meteorologai
2113,Chemikai
2114,Geologai ir geofizikai
212,"Matematikai, aktuarai ir statistikai"
2120,"Matematikai, aktuarai ir statistikai"
213,Gyvosios gamtos mokslų specialistai
2131,"Biologai, botanikai, zoologai ir giminiškų profesijų specialistai"
2132,Žemės ir miškų ūkio bei žuvininkystės specialistai
2133,Aplinkos apsaugos specialistai
214,Inžinerijos specialistai (išskyrus elektros technologijų inžinierius)
2141,Technologijų ir gamybos inžinieriai
2142,Statybos inžinieriai
2143,Ekologijos inžinieriai
2144,Mechanikos inžinieriai
2145,Chemijos inžinieriai
2146,"Gavybos inžinieriai, metalurgai ir giminiškų profesijų specialistai"
2149,Kitur nepriskirti inžinerijos specialistai
215,Elektros technologijų inžinieriai
2151,Elektros inžinieriai
2152,Elektronikos inžinieriai
2153,Telekomunikacijų inžinieriai
216,"Architektai, planuotojai, topografai ir dizaineriai"
2161,Statybos architektai
2162,Kraštovaizdžio architektai
2163,Produktų ir drabužių dizaineriai
2164,Miestų ir kelių eismo planuotojai
2165,Kartografai ir topografai
2166,Grafikos ir multimedijos dizaineriai
22,Sveikatos specialistai
221,Gydytojai
2211,Bendrosios praktikos gydytojai
2212,Gydytojai specialistai
222,Slaugos ir akušerijos specialistai
2221,Slaugos specialistai
2222,Akušerijos specialistai
223,Tradicinės ir liaudies medicinos specialistai
2230,Tradicinės ir liaudies medicinos specialistai
224,Paramedikai
2240,Paramedikai
225,Veterinarai
2250,Veterinarai
226,Kiti sveikatos specialistai
2261,Gydytojai odontologai
2262,Vaistininkai
2263,"Aplinkos, profesinės sveikatos ir higienos specialistai"
2264,Fizioterapeutai
2265,Dietistai ir mitybos specialistai
2266,Audiologai ir kalbos terapeutai
2267,Optometrijos specialistai ir optikai
2269,Kitur nepriskirti sveikatos specialistai
23,Mokymo specialistai
231,Aukštųjų mokyklų dėstytojai
2310,Aukštųjų mokyklų dėstytojai
232,Profesijos mokytojai
2320,Profesijos mokytojai
233,Pagrindinio ir vidurinio ugdymo mokytojai
2330,Pagrindinio ir vidurinio ugdymo mokytojai
234,Pradinio ir ikimokyklinio ugdymo mokytojai
2341,Pradinio ugdymo mokytojai
2342,Ikimokyklinio ugdymo mokytojai
235,Kiti mokymo specialistai
2351,Švietimo metodų specialistai
2352,Specialiųjų poreikių mokinių mokytojai
2353,Neformaliojo švietimo kalbų mokytojai
2354,Neformaliojo švietimo muzikos mokytojai
2355,Neformaliojo švietimo meninio ugdymo mokytojai
2356,Neformaliojo švietimo informacinių technologijų praktikos mokytojai
2359,Kitur nepriskirti mokymo specialistai
24,Verslo ir administravimo specialistai
241,Finansų specialistai
2411,Buhalteriai
2412,Finansų ir investicijų konsultantai
2413,Finansų analitikai
242,Administravimo specialistai
2421,Vadybos ir organizavimo analitikai
2422,Politikos ir administravimo specialistai
2423,Personalo ir profesinio orientavimo specialistai
2424,Mokymo ir darbuotojų ugdymo specialistai
243,"Pardavimo, rinkodaros ir viešųjų ryšių specialistai"
2431,Reklamos ir rinkodaros specialistai
2432,Viešųjų ryšių specialistai
2433,Technikos ir medicinos sričių pardavimo (išskyrus informacinių technologijų ir ryšių paslaugų pardavimą) specialistai
2434,Informacinių technologijų ir ryšių paslaugų pardavimo specialistai
25,Informacinių technologijų ir ryšių sistemų specialistai
251,Programinės įrangos ir taikomųjų programų kūrėjai ir analitikai
2511,Sistemų analitikai
2512,Programinės įrangos kūrėjai
2513,Saityno ir multimedijos kūrėjai
2514,Taikomųjų programų kūrėjai
2519,Kitur nepriskirti programinės įrangos ir taikomųjų programų kūrėjai ir analitikai
252,Duomenų bazių ir tinklų specialistai
2521,Duomenų bazių projektuotojai ir administratoriai
2522,Sistemų administratoriai
2523,Kompiuterių tinklų specialistai
2529,Kitur nepriskirti duomenų bazių ir tinklų specialistai
26,"Teisės, socialinės srities ir kultūros specialistai"
261,Teisės specialistai
2611,Teisininkai
2612,Teisėjai
2619,Kitur nepriskirti teisės specialistai
262,"Bibliotekininkai, archyvų ir muziejų specialistai"
2621,Archyvų ir muziejų specialistai
2622,Bibliotekininkai ir kiti informacijos specialistai
263,Socialinės ir religinės sričių specialistai
2631,Ekonomistai
2632,"Sociologai, antropologai ir giminiškų profesijų specialistai"
2633,"Filosofai, istorikai ir politologai"
2634,Psichologai
2635,Socialiniai darbuotojai ir konsultantai
2636,Religijų specialistai
264,"Autoriai, žurnalistai ir kalbininkai"
2641,Autoriai ir kiti rašytojai
2642,Žurnalistai
2643,Vertėjai ir kalbininkai
265,Kūrybiniai darbuotojai ir atlikėjai
2651,Regimojo meno kūrėjai ir atlikėjai
2652,"Muzikantai, dainininkai ir kompozitoriai"
2653,Šokėjai ir choreografai
2654,"Kino, teatro ir panašių sričių režisieriai ir prodiuseriai"
2655,Aktoriai
2656,"Radijo, televizijos ir kitų informacijos sklaidos priemonių diktoriai"
2659,Kitur nepriskirti kūrybiniai darbuotojai ir atlikėjai
3,Technikai ir jaunesnieji specialistai
31,Jaunesnieji fizinių mokslų ir inžinerijos specialistai
311,Fizinių mokslų ir inžinerijos technikai
3111,Chemijos ir kitų fizinių mokslų technikai
3112,Statybos inžinerijos technikai
3113,Elektros inžinerijos technikai
3114,Elektronikos inžinerijos technikai
3115,Mechanikos inžinerijos technikai
3116,Cheminės inžinerijos technikai
3117,Gavybos ir metalurgijos technikai
3118,Braižytojai
3119,Kitur nepriskirti fizinių mokslų ir inžinerijos technikai
312,"Gavybos, gamybos ir statybos darbų meistrai ir brigadininkai"
3121,Gavybos darbų meistrai ir brigadininkai
3122,Gamybos darbų meistrai ir brigadininkai
3123,Statybos darbų meistrai ir brigadininkai
313,Technologinių procesų valdymo technikai
3131,Elektrinių operatoriai
3132,Atliekų deginimo ir vandens valymo įrenginių operatoriai
3133,Cheminio apdorojimo įrenginių valdymo operatoriai
3134,Naftos ir gamtinių dujų perdirbimo įrenginių operatoriai
3135,Metalurgijos technologinių procesų valdymo įrangos operatoriai
3139,Kitur nepriskirti technologinių procesų valdymo technikai
314,Gyvosios gamtos mokslų technikai ir jaunesnieji giminiškų profesijų specialistai
3141,Gyvosios gamtos mokslų technikai (išskyrus medicinos ir patologijos laboratorijų technikus)
3142,Žemės ūkio technikai
3143,Jaunesnieji miškų ūkio specialistai
315,Laivų ir orlaivių valdymo vadovai ir technikai
3151,Laivų mechanikai
3152,Laivavedžiai ir laivų kapitonai
3153,Orlaivių pilotai ir kiti giminiškų profesijų specialistai
3154,Skrydžių vadovai
3155,Skrydžių saugos elektronikos technikai
32,Jaunesnieji sveikatos specialistai
321,Medicinos ir farmacijos technikai
3211,Medicininio vizualizavimo ir medicininės įrangos technikai
3212,Medicinos ir patologijos laboratorijų technikai
3213,Farmacijos technikai ir vaistininkų padėjėjai
3214,Medicinos ir dantų technikai
322,Jaunesnieji slaugos ir akušerijos specialistai
3221,Jaunesnieji slaugos specialistai
3222,Jaunesnieji akušerijos specialistai
323,Jaunesnieji tradicinės ir liaudies medicinos specialistai
3230,Jaunesnieji tradicinės ir liaudies medicinos specialistai
324,Veterinarijos technikai ir felčeriai
3240,Veterinarijos technikai ir felčeriai
325,Kiti jaunesnieji sveikatos specialistai
3251,Gydytojo odontologo padėjėjai ir burnos higienistai
3252,Medicininių įrašų ir sveikatos informacijos technikai
